isoa2,2025-01-01,2025-04-06
AF,3467.0,3467.0
AL,2791.0,2878.0
DZ,36092.0,36567.0
AD,53.0,53.0
AO,6370.0,6429.0
AG,42.0,42.0
AR,56702.0,56441.0
AM,5213.0,5214.0
AU,81280.0,81692.0
AT,11641.0,11531.0
AZ,9961.0,10008.0
BH,18.0,18.0
BD,8039.0,8080.0
BB,0.0,0.0
BY,34505.0,34509.0
BE,5990.0,5985.0
BZ,654.0,661.0
BJ,1191.0,1191.0
BT,1037.0,1037.0
BO,7087.0,7897.0
BA,4616.0,4618.0
BW,5472.0,5472.0
BR,294759.0,295234.0
BN,309.0,309.0
BG,13363.0,13424.0
BF,1364.0,1373.0
BI,394.0,394.0
KH,2663.0,2686.0
CM,2193.0,2193.0
CA,149697.0,150177.0
CV,43.0,43.0
CF,139.0,139.0
TD,127.0,127.0
CL,25476.0,25563.0
CO,16015.0,16247.0
KM,0.0,0.0
CR,2451.0,2453.0
HR,9642.0,9797.0
CU,6340.0,6340.0
CY,1060.0,1060.0
CZ,15657.0,15709.0
CD,7886.0,7932.0
DJ,282.0,283.0
DM,0.0,0.0
DO,2452.0,2454.0
EC,8135.0,8232.0
EG,28005.0,28045.0
SV,1405.0,1405.0
GQ,1113.0,1171.0
ER,125.0,125.0
EE,6896.0,6946.0
SZ,703.0,703.0
ET,16795.0,16818.0
FM,8.0,8.0
FJ,,
FI,24539.0,24626.0
FR,83882.0,83826.0
GA,442.0,442.0
GE,5642.0,5712.0
DE,63149.0,63032.0
GH,5572.0,5572.0
GR,11998.0,12044.0
GD,0.0,0.0
GT,2646.0,2685.0
GN,1237.0,1238.0
GW,220.0,220.0
GY,2.0,2.0
HT,153.0,153.0
HN,1808.0,1808.0
HU,10353.0,10349.0
IS,3526.0,3507.0
IN,447519.0,455710.0
ID,36164.0,36537.0
IR,76815.0,76885.0
IQ,19223.0,19354.0
IE,6728.0,6727.0
IL,3542.0,3539.0
IT,70870.0,71024.0
CI,10731.0,11166.0
JM,613.0,613.0
JP,72362.0,72498.0
JO,2668.0,2668.0
KZ,54425.0,58858.0
KE,7041.0,7918.0
NL,4186.0,4183.0
KI,0.0,0.0
KW,4793.0,4795.0
KG,6367.0,6458.0
LA,7774.0,7774.0
LV,12437.0,11410.0
LB,750.0,750.0
LS,767.0,770.0
LR,587.0,587.0
LY,25779.0,25651.0
LI,30.0,30.0
LT,9604.0,9665.0
LU,653.0,645.0
MG,238.0,238.0
MW,2470.0,2470.0
MY,15006.0,15085.0
MV,0.0,0.0
ML,1584.0,1584.0
MT,12.0,12.0
MH,0.0,0.0
MR,1447.0,1447.0
MU,152.0,152.0
MX,84978.0,85070.0
MD,11613.0,11616.0
MC,4.0,4.0
MN,12751.0,12821.0
ME,2009.0,2064.0
MA,23128.0,23372.0
MZ,8770.0,9264.0
MM,13922.0,13917.0
,,
NR,0.0,0.0
NP,2560.0,3740.0
NZ,12548.0,12400.0
NI,2555.0,2599.0
NE,1215.0,1215.0
NG,12943.0,13578.0
KP,5555.0,5616.0
MK,1769.0,1783.0
NO,31945.0,31953.0
OM,10179.0,10176.0
PK,39020.0,40848.0
PW,0.0,0.0
PA,2125.0,2125.0
PG,948.0,948.0
PY,4651.0,4651.0
CN,976771.0,999147.0
PE,20551.0,20569.0
PH,13938.0,14401.0
PL,48805.0,48859.0
PT,17378.0,17275.0
QA,1176.0,1176.0
CG,1599.0,1598.0
RO,25406.0,25407.0
RU,,
RW,1193.0,1210.0
KN,0.0,0.0
LC,0.0,0.0
VC,0.0,0.0
WS,0.0,0.0
SM,5.0,5.0
SA,48672.0,48907.0
SN,2677.0,2681.0
RS,10108.0,10158.0
SC,4.0,4.0
SL,752.0,753.0
SG,0.0,0.0
SK,7193.0,7201.0
SI,3279.0,3303.0
SB,0.0,0.0
SO,1.0,1.0
ZA,81008.0,81100.0
KR,13753.0,13746.0
SS,218.0,218.0
ES,82177.0,82761.0
LK,3219.0,3572.0
PS,272.0,272.0
SD,6516.0,6516.0
SR,133.0,133.0
SE,45238.0,45325.0
CH,9622.0,9598.0
SY,20014.0,18820.0
ST,6.0,6.0
TW,,
TJ,5498.0,5626.0
TZ,8009.0,8521.0
TH,21946.0,22505.0
BS,89.0,89.0
GM,160.0,160.0
TL,589.0,589.0
TG,745.0,745.0
TO,3.0,3.0
TT,273.0,273.0
TN,5796.0,5828.0
TR,64436.0,64494.0
TM,11555.0,12025.0
TV,0.0,0.0
UG,2651.0,3058.0
UA,126122.0,126147.0
AE,8143.0,8145.0
GB,28979,28715
US,845839,852840
UY,6904,6946
UZ,20917,21607
VU,0,0
VA,0,0
VE,21855,21892
VN,29139,29396
YE,1547,1547
ZM,12815,12904
ZW,7402,7411
