isoa2,2025-08-20
AF,3749.0
AL,2879.0
DZ,36969.0
AD,53.0
AO,6434.0
AG,42.0
AR,56931.0
AM,5231.0
AU,81856.0
AT,11532.0
AZ,10043.0
BH,19.0
BD,8846.0
BB,0.0
BY,34509.0
BE,5986.0
BZ,660.0
BJ,1345.0
BT,1042.0
BO,7987.0
BA,6207.0
BW,5472.0
BR,299265.0
BN,309.0
BG,13882.0
BF,1495
BI,394
KH,3103
CM,2193
CA,152258
CV,43
CF,139
TD,128
CL,25632
CO,18144
KM,0
CR,2453
HR,9791
CU,6340
CY,1060
CZ,15716
CD,8118
DJ,283
DM,0
DO,2461
EC,8374
EG,28067
SV,1405
GQ,1171
ER,133
EE,6985
SZ,703
ET,16822
FM,8
FJ,
FI,24677
FR,83526
GA,467
GE,6671
DE,63034
GH,5704
GR,12050
GD,0
GT,2685
GN,1238
GW,220
GY,2
HT,153
HN,1808
HU,10401
IS,3487
IN,460581
ID,36564
IR,77097
IQ,19775
IE,6752
IL,3563
IT,71145
CI,11170
JM,613
JP,72779
JO,2691
KZ,72164
KE,7580
NL,4181
KI,0
KW,4795
KG,6949
LA,7801
LV,12236
LB,896
LS,638
LR,587
LY,25729
LI,30
LT,9712
LU,645
MG,287
MW,2495
MY,15143
MV,0
ML,1584
MT,12
MH,0
MR,1447
MU,152
MX,85459
MD,11768
MC,4
MN,15960
ME,2080
MA,23425
MZ,9467
MM,14565
,
NR,0
NP,3824
NZ,12512
NI,2599
NE,1222
NG,13932
KP,6010
MK,1924
NO,31941
OM,10175
PK,41030
PW,0
PA,2125
PG,948
PY,4707
CN,1040225
PE,21218
PH,14633
PL,45982
PT,17366
QA,1236
CG,1616
RO,25556
RU,
RW,1210
KN,0
LC,0
VC,0
WS,0
SM,5
SA,48986
SN,2681
RS,10234
SC,4
SL,753
SG,0
SK,7201
SI,3308
SB,0
SO,1
ZA,81109
KR,13744
SS,218
ES,82982
LK,3739
PS,279
SD,6516
SR,133
SE,45417
CH,9596
SY,18820
ST,6
TW,
TJ,5895
TZ,8211
TH,22542
BS,92
GM,160
TL,589
TG,955
TO,3
TT,273
TN,5839
TR,65292
TM,14691
TV,0
UG,3276
UA,126163
AE,8148
GB,28377
US,867988
UY,7175
UZ,23064
VU,0
VA,0
VE,21917
VN,30424
YE,1606
ZM,13182
ZW,7412
